time [Myr],wd1 [m],wd2 [m],wd3 [m],wd4 [m]
0.5366,-1.5409369370630053,-1.530253103310784,11.888575783338833,41.057946697120684
0.5368,-1.534936937063005,-1.5242531033107838,11.893624408360488,41.06394669712069
0.537,-1.5289369370630048,-1.5182531033107836,11.89872983827172,41.069946697120685
0.5372,-1.5229369370630046,-1.5122531033107833,11.90472983827172,41.075946697120685
0.5374,-1.5169369370630044,-1.506253103310783,11.909826826084768,41.0695117022638
0.5376,-1.5109369370630041,-1.5002531033107829,11.915826826084768,41.062589700111104
0.5378,-1.504936937063011,-1.4942531033107898,11.92176691336201,41.05508221075323
0.538,-1.4989369370630037,-1.4882531033107824,11.90817862325343,41.04779513742818
0.5382,-1.4929369370630035,-1.4822531033107822,11.894639020161357,41.04080871228197
0.5384,-1.4869369370630032,-1.476253103310782,11.881865588426855,41.04680871228197
0.5386,-1.48093693706301,-1.4702531033107888,11.868865109949844,41.052808712281966
0.5388,-1.4749369370630099,-1.4642531033107886,11.868436779762582,41.058808712281966
0.539,-1.4689369370630025,-1.4582531033107813,11.794082442515382,41.05218864378979
0.5392,-1.4629369370630023,-1.452253103310781,11.800082442515382,41.05818864378978
0.5394,-1.4569369370630092,-1.446253103310788,11.806082442515383,41.06396168159691
0.5396,-1.450936937063009,-1.4402531033107877,11.73930323284101,41.0565310640057
0.5398,-1.4449369370630087,-1.4342531033107875,11.678577991162854,41.048941256601
0.54,-1.4389369370630014,-1.4282531033107801,11.61214582020314,41.041338361547865
0.5402,-1.4329369370630083,-1.422253103310787,11.554361800746328,41.03405871510467
0.5404,-1.426936937063008,-1.4162531033107868,11.560361800746328,41.02644108613352
0.5406,-1.4209369370630078,-1.4102531033107866,11.501614680046401,41.03244108613352
0.5408,-1.4149369370630076,-1.4042531033107934,11.501597098003877,41.03844108613342
0.541,-1.4089369370630074,-1.3982531033107861,11.43093264752622,41.044441086133325
0.5412,-1.4029369370630072,-1.3922531033107859,11.43693264752622,41.050441086133226
0.5414,-1.396936937063007,-1.3862531033107857,11.436408786564868,41.056441086133134
0.5416,-1.3909369370630067,-1.3802531033107925,11.442408786564862,41.062441086133134
0.5418,-1.3849369370630065,-1.3742531033107923,11.448408786564862,41.068441086133134
0.542,-1.3789369370630062,-1.368253103310785,11.45440878656487,41.074441086133135
0.5422,-1.372936937063006,-1.3622531033107848,11.383376580102443,41.08044108613304
0.5424,-1.3669369370630058,-1.3562531033107916,11.389376580102436,41.08644108613304
0.5426,-1.3609369370630056,-1.3502531033107914,11.389470682948264,41.09244108613304
0.5428,-1.3549369370630053,-1.3442531033107912,11.31575813921129,41.09844108613304
0.543,-1.348936937063005,-1.3382531033107838,11.240317637966697,41.10444108613303
0.5432,-1.3429369370630049,-1.3322531033107907,11.238596386198203,41.110441086132944
0.5434,-1.3369369370630046,-1.3262531033107905,11.244596386198204,41.116441086132944
0.5436,-1.3309369370630044,-1.3202531033107903,11.16771396135374,41.12244108613285
0.5438,-1.3249369370630042,-1.31425310331079,11.167172267211406,41.12844108613285
0.544,-1.318936937063004,-1.3082531033107898,11.08985201965173,41.13444108613276
0.5442,-1.3129369370630037,-1.3022531033107896,11.08899013684372,41.14044108613276
0.5444,-1.3069369370630035,-1.2962531033107894,11.094960341105988,41.145765437345474
0.5446,-1.3009369370630033,-1.2902531033107891,11.02477145395838,41.151765437345475
0.5448,-1.2949369370630102,-1.284253103310789,10.958166170526674,41.14475420115684
0.545,-1.2889369370630028,-1.2782531033107887,10.963984009587698,41.15075420115684
0.5452,-1.2829369370630026,-1.2722531033107884,10.968915552008816,41.15675420115684
0.5454,-1.2769369370630095,-1.2662531033107882,10.954492381310189,41.16208099081071
0.5456,-1.2709369370630093,-1.260253103310788,10.940230466751856,41.147433899986055
0.5458,-1.264936937063009,-1.2542531033107878,10.92694529702888,41.133648078451
0.546,-1.2589369370630017,-1.2482531033107875,10.912611959658172,41.13945717105295
0.5462,-1.2529369370630086,-1.2422531033107873,10.918418506852454,41.14545717105295
0.5464,-1.2469369370630083,-1.236253103310787,10.85273648340867,41.13136636972689
0.5466,-1.2409369370630081,-1.2302531033107869,10.790995153482037,41.13736636972689
0.5468,-1.234936937063008,-1.2242531033107866,10.721348768916258,41.14336636972689
0.547,-1.2289369370630077,-1.2182531033107864,10.66156285256428,41.14936636972689
0.5472,-1.2229369370630074,-1.2122531033107862,10.66538971645084,41.1351101039145
0.5474,-1.2169369370630072,-1.206253103310786,10.651610218679451,41.140619843598344
0.5476,-1.210936937063007,-1.2002531033107857,10.637840345399198,41.14592929425491
0.5478,-1.2049369370630068,-1.1942531033107855,10.643840345399198,41.13208056153333
0.548,-1.1989369370630065,-1.1882531033107853,10.649380050364513,41.118123353300625
0.5482,-1.1929369370630063,-1.182253103310785,10.583426905401176,41.12412335330062
0.5484,-1.186936937063006,-1.1762531033107848,10.515891535078147,41.13012335330061
0.5486,-1.1809369370630058,-1.1702531033107846,10.521891535078147,41.13612335330051
0.5488,-1.1749369370630056,-1.1642531033107844,10.452700949622198,41.14212335330051
0.549,-1.1689369370630054,-1.1582531033107841,10.458700949622198,41.14812335330052
0.5492,-1.1629369370630052,-1.152253103310784,10.464700949622198,41.15412335330043
0.5494,-1.156936937063005,-1.1462531033107837,10.470700949622199,41.160123353300335
0.5496,-1.1509369370630047,-1.1402531033107834,10.476700949622199,41.166123353300335
0.5498,-1.1449369370630045,-1.1342531033107832,10.462343820147908,41.172123353300236
0.55,-1.1389369370630043,-1.128253103310783,10.468343820147908,41.178123353300236
0.5502,-1.132936937063004,-1.1222531033107828,10.47091887515436,41.18412335330024
0.5504,-1.1269369370630038,-1.1162531033107825,10.473543129583412,41.190123353300145
0.5506,-1.1209369370630036,-1.1102531033107823,10.475242654202987,41.196123353300145
0.5508,-1.1149369370630104,-1.1042531033107892,10.476638972315811,41.20212335330014
0.551,-1.1089369370630031,-1.0982531033107819,10.478306823497661,41.19559129890434
0.5512,-1.1029369370630029,-1.0922531033107816,10.479957766021464,41.18848255258267
0.5514,-1.0969369370630027,-1.0862531033107814,10.481285026077728,41.181422185432986
0.5516,-1.0909369370630095,-1.0802531033107883,10.482868385637616,41.17440646705917
0.5518,-1.0849369370630093,-1.074253103310788,10.487851090996266,41.167720101528786
0.552,-1.078936937063002,-1.0682531033107807,10.493851090996266,41.16110059295543
0.5522,-1.0729369370630017,-1.0622531033107805,10.499851090996266,41.155131061198304
0.5524,-1.0669369370630086,-1.0562531033107874,10.505148664349434,41.148614916326025
0.5526,-1.0609369370630084,-1.0502531033107871,10.490310632494435,41.14216523707353
0.5528,-1.0549369370630082,-1.044253103310787,10.476019510882914,41.13489576674054
0.553,-1.048936937063008,-1.0382531033107867,10.482019510882914,41.12911181378711
0.5532,-1.0429369370630077,-1.0322531033107865,10.487466425534329,41.122783539876814
0.5534,-1.0369369370630075,-1.0262531033107862,10.472809508924811,41.11709661081157
0.5536,-1.0309369370630073,-1.020253103310786,10.478371639186221,41.11002329406093
0.5538,-1.024936937063007,-1.0142531033107929,10.396816287507953,41.10301242154861
0.554,-1.0189369370630068,-1.0082531033107855,10.402272409385596,41.09601291606547
0.5542,-1.0129369370630066,-1.0022531033107853,10.404398576413051,41.08961173167983
0.5544,-1.0069369370630064,-0.9962531033107851,10.405547537186578,41.09561173167983
0.5546,-1.0009369370630061,-0.990253103310792,10.407294796548967,41.10116889246054
0.5548,-0.9949369370630059,-0.9842531033107917,10.408969762151727,41.10716889246054
0.555,-0.9889369370630057,-0.9782531033107844,10.414969762151735,41.11316889246054
0.5552,-0.9829369370630054,-0.9722531033107842,10.400288608512994,41.119168892460536
